V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,Instructions,E4_move_BACK,E4_move_FORW,E4_change_FORW,E4_change_BACK,VideoCompletion,VideoNTimes,VideoIssues,OpenEnded,GestureNotice,MathQuestion,TransitionPerson,Likeability,Approachability,Warm,Friendly,age,gender,handedness,language,ThankYou,DO-BR-FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1gILNJWDeOu5mPK,Default Response Set,Anonymous,,,104.200.129.48,0,2019-07-05 06:25:22,2019-07-05 06:28:54,1,1,1,,,friday,,Yes,3,there was no issue,,Definitely yes,13,1,slightly agree,slightly agree,strongly agree,slightly agree,23,female,right-handed,English,1,E4_change_FORW,47.60920715332,-122.33140563965,-1,
R_1gdKXR2BZE3cz36,Default Response Set,Anonymous,,,172.58.184.89,0,2019-07-05 06:27:35,2019-07-05 06:29:57,1,1,1,,Friday,,,Yes,1,none,The guy in the video was handsome,Definitely yes,13,1,strongly agree,slightly agree,slightly agree,slightly agree,29,male,ambidextrous,English,1,E4_move_FORW,38.889205932617,-76.941703796387,-1,
R_0qfHiIuSeCqYACt,Default Response Set,Anonymous,,,72.11.137.124,0,2019-07-05 06:26:53,2019-07-05 06:30:09,1,1,1,,,,Friday,Yes,2,No,Good,Probably yes,13,1,strongly agree,strongly agree,slightly agree,strongly agree,35,female,right-handed,English,1,E4_change_BACK,42.004806518555,-87.995399475098,-1,
R_115zvEpksSArxzS,Default Response Set,Anonymous,,,38.132.116.164,0,2019-07-05 06:26:49,2019-07-05 06:30:45,1,1,1,,good,,,Yes,2,np,he tell them shortly,Might or might not,13,1,slightly agree,slightly agree,slightly agree,slightly disagree,31,male,right-handed,english,1,E4_move_FORW,37.751007080078,-97.821998596191,-1,
R_20O12LsRcW4No5R,Default Response Set,Anonymous,,,162.243.246.160,0,2019-07-05 06:28:54,2019-07-05 06:30:58,1,1,1,Friday,,,,Yes,1,no,no,Definitely yes,11,1,slightly agree,slightly agree,strongly agree,strongly agree,32,male,right-handed,english ,1,E4_move_BACK,40.730804443359,-73.997497558594,-1,
R_28FKSFX5UqIs58I,Default Response Set,Anonymous,,,74.70.148.125,0,2019-07-05 06:30:38,2019-07-05 06:32:18,1,1,1,,,Friday,,Yes,1,no,He had very strange hand movement. ,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,33,male,right-handed,English,1,E4_change_FORW,42.848205566406,-73.78630065918,-1,
R_XO3kFQbFlqRJgUF,Default Response Set,Anonymous,,,50.239.137.77,0,2019-07-05 06:26:13,2019-07-05 06:33:49,1,1,1,,,I like the video,,Yes,3,Nothing,I like the person ,Definitely yes,13,1,strongly agree,slightly agree,slightly agree,strongly agree,35,male,right-handed,English,1,E4_change_FORW,36.402801513672,-97.862297058105,-1,
R_11bxWXZddqk8HwW,Default Response Set,Anonymous,,,38.132.116.171,0,2019-07-05 06:36:21,2019-07-05 06:37:56,1,1,1,,moves by today,,,Maybe,2,no,no idea,Probably yes,13,1,slightly disagree,strongly disagree,slightly agree,slightly agree,31,male,right-handed,english,1,E4_move_FORW,37.751007080078,-97.821998596191,-1,
R_3nOzQSyJvh34YmS,Default Response Set,Anonymous,,,107.5.199.80,0,2019-07-05 06:37:51,2019-07-05 06:41:30,1,1,1,"meeting is moved by two days, what day is the meeting on now?",,,,Yes,1,,i submitted the hit with my mturk id,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,36,female,left-handed,english,1,E4_move_BACK,42.913299560547,-85.814498901367,-1,
R_XNCMRycRgiW8nL3,Default Response Set,Anonymous,,,136.63.13.43,0,2019-07-05 06:41:06,2019-07-05 06:43:48,1,1,1,Monday,,,,Yes,once,no,"He spoke too fast, hard to understand at first",Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,49,female,right-handed,English,1,E4_move_BACK,38.920104980469,-94.39990234375,-1,
R_8G72JON973UxYtj,Default Response Set,Anonymous,,,24.245.38.217,0,2019-07-05 06:43:20,2019-07-05 06:44:26,1,1,1,,,Friday,,Yes,1,No,None,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,31,female,right-handed,English,1,E4_change_FORW,45.118392944336,-93.346099853516,-1,
R_3noSXf1DZhMXFGr,Default Response Set,Anonymous,,,174.16.242.183,0,2019-07-05 06:48:25,2019-07-05 06:50:50,1,1,1,,Friday,,,Yes,1,No,No.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,48,male,right-handed,English,1,E4_move_FORW,39.78450012207,-104.96420288086,-1,
R_2V4N9slYkzVPsjF,Default Response Set,Anonymous,,,172.91.4.169,0,2019-07-05 06:47:23,2019-07-05 06:51:35,1,1,1,Friday,,,,Yes,once,no,no,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,41,male,right-handed,English,1,E4_move_BACK,34.088195800781,-118.32109832764,-1,
R_XXH8AipIO5TG3uh,Default Response Set,Anonymous,,,66.30.242.170,0,2019-07-05 06:44:25,2019-07-05 06:53:10,1,1,1,,,Nice,,Yes,1,No,Nothing,Probably yes,13,1,slightly disagree,strongly disagree,slightly disagree,strongly disagree,30,male,right-handed,English,1,E4_change_FORW,42.077392578125,-71.04460144043,-1,
R_1DU7Sn0UhNZiqBT,Default Response Set,Anonymous,,,66.30.242.170,0,2019-07-05 06:53:13,2019-07-05 06:56:27,1,1,1,,Nice,,,Yes,No,No,Nothing,Probably yes,13,1,strongly agree,slightly agree,strongly agree,slightly agree,30,male,right-handed,English,1,E4_move_FORW,42.077392578125,-71.04460144043,-1,
R_1eUJlRLR3X9ViPD,Default Response Set,Anonymous,,,192.227.227.253,0,2019-07-05 06:41:20,2019-07-05 06:43:31,0,1,1,,,,very njice,Yes,2,yes,no,Probably yes,13,1,slightly agree,strongly agree,strongly agree,strongly agree,25,female,right-handed,english,,E4_change_BACK,,,-1,
R_e3WCCSBzXX8AfN7,Default Response Set,Anonymous,,,67.166.6.110,0,2019-07-05 06:45:56,2019-07-05 06:49:46,0,1,1,,,,Friday,Yes,1,no,I had no choice but to listen to it 2 times. It made no sense. Ok so the meeting has been changed by 2 days.. pushed forward? back?  it made no sense at all.. silly,Probably not,13,1,slightly agree,slightly agree,slightly agree,slightly agree,51,male,right-handed,English,,E4_change_BACK,,,-1,
R_sYGlBnlg5Pumyw9,Default Response Set,Anonymous,,,97.103.153.83,0,2019-07-05 06:34:34,2019-07-05 06:36:31,0,1,1,,,,Monday,Yes,1,no,No,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,slightly agree,59,female,right-handed,English,,E4_change_BACK,,,-1,
R_uy6PcYCydeyGtHP,Default Response Set,Anonymous,,,172.56.6.193,0,2019-07-05 06:27:51,2019-07-05 06:28:39,0,1,1,,,,,,,,,,,,,,,,,,,,,E4_change_FORW,,,-1,
R_1K0WN6BvJK8yHHJ,Default Response Set,Anonymous,,,71.183.84.183,0,2019-07-05 06:29:42,2019-07-05 06:31:12,0,1,1,,,Friday,,Yes,1,No,No,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,43,female,right-handed,English,,E4_change_FORW,,,-1,
R_3EngeAYIy9nOFvY,Default Response Set,Anonymous,,,89.187.175.148,0,2019-07-05 06:25:59,2019-07-05 06:27:39,0,1,1,,,,,,,,,,,,,,,,,,,,,E4_move_BACK,,,-1,
R_1d79ljd2IXKrqau,Default Response Set,Anonymous,,,96.58.200.155,0,2019-07-05 06:27:43,2019-07-05 06:31:03,0,1,1,,Friday,,,Yes,2,vocal wasn't clear.,He has an accent.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,58,female,right-handed,English,,E4_move_FORW,,,-1,
R_8uBRq5WgW6UO5HP,Default Response Set,Anonymous,,,65.186.214.207,0,2019-07-05 06:41:41,2019-07-05 06:43:26,0,1,1,,Next Friday,,,Yes,2,no,no,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,37,female,right-handed,English,,E4_move_FORW,,,-1,
R_2zD7ZPnl3leKa8U,Default Response Set,Anonymous,,,67.249.186.196,0,2019-07-05 06:27:37,2019-07-05 06:29:17,0,1,1,,,,,,,,,,,,,,,,,,,,,E4_change_BACK,,,-1,
R_12ElUt2lbHoqeG9,Default Response Set,Anonymous,,,47.198.247.163,0,2019-07-05 06:25:46,2019-07-05 06:27:28,0,1,1,Friday,,,,Yes,2,nope,nope,Might or might not,13,1,slightly agree,slightly agree,slightly agree,slightly agree,18,male,right-handed,English,,E4_move_BACK,,,-1,
R_2S6OMECDNFyPT2X,Default Response Set,Anonymous,,,65.249.163.125,0,2019-07-05 06:25:53,2019-07-05 06:26:07,0,1,1,,,,,,,,,,,,,,,,,,,,,E4_move_FORW,,,-1,
R_w6kN0X8ppkkyK53,Default Response Set,Anonymous,,,24.59.191.225,0,2019-07-05 06:25:42,2019-07-05 06:26:32,0,1,1,,,,Friday,,,,,,,,,,,,,,,,,E4_change_BACK,,,-1,
R_2CPSSnHLVnNKkVB,Default Response Set,Anonymous,,,108.226.198.72,0,2019-07-05 06:25:45,2019-07-05 06:28:57,0,1,1,,,,Friday,Yes,Once,No,None that I can think of,Definitely yes,13,1,slightly disagree,strongly disagree,strongly disagree,slightly disagree,62,female,ambidextrous,English,,E4_change_BACK,,,-1,
R_1DFQ1WArkktZWgj,Default Response Set,Anonymous,,,99.38.102.0,0,2019-07-05 06:25:53,2019-07-05 06:30:25,0,1,1,It is Friday,,,,Yes,1,No ,No,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,64,male,left-handed,English,,E4_move_BACK,,,-1,
R_De3URfFYH0ZGCPL,Default Response Set,Anonymous,,,216.68.87.199,0,2019-07-05 06:25:52,2019-07-05 06:29:16,0,1,1,,,Friday,,Yes,2,no,He worded it strangely.,Definitely yes,13,1,slightly agree,strongly disagree,slightly disagree,slightly disagree,28,female,right-handed,English,,E4_change_FORW,,,-1,
R_3pbAhIrWN8krsEc,Default Response Set,Anonymous,,,74.232.11.235,0,2019-07-05 06:25:29,2019-07-05 06:27:23,0,1,1,Monday,,,,Yes,twice,no sound the first time I played it,no,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,46,female,left-handed,English,,E4_move_BACK,,,-1,
R_yt428Ze9Wng5SDv,Default Response Set,Anonymous,,,107.174.128.107,0,2019-07-05 06:25:23,2019-07-05 06:26:59,0,1,1,,,,,,,,,,,,,,,,,,,,,E4_change_FORW,,,-1,
R_3p3FVvnjHDHjqTu,Default Response Set,Anonymous,,,173.172.168.221,0,2019-07-05 06:25:45,2019-07-05 06:27:01,0,1,1,,,,,,,,,,,,,,,,,,,,,E4_move_BACK,,,-1,
R_73sX7A1PMtp7gRj,Default Response Set,Anonymous,,,63.234.229.18,0,2019-07-05 06:25:42,2019-07-05 06:25:57,0,1,1,,,,,,,,,,,,,,,,,,,,,E4_move_FORW,,,-1,
R_2BfX0WxOL74LatT,Default Response Set,Anonymous,,,65.131.246.126,0,2019-07-05 06:25:32,2019-07-05 06:27:56,0,1,1,,Friday,,,Yes,1,No issues,,Definitely yes,13,1,slightly agree,slightly agree,slightly disagree,slightly agree,49,male,right-handed,English,,E4_move_FORW,,,-1,
R_1pzI4wsEaMoPW4g,Default Response Set,Anonymous,,,96.44.190.132,0,2019-07-05 06:25:29,2019-07-05 06:27:34,0,1,1,,,backward to the bank,,Yes,1,nothing,interested.,Probably yes,13,1,slightly agree,strongly agree,slightly agree,strongly agree,30,female,right-handed,English,,E4_change_FORW,,,-1,
R_1P15vgGUGAJAnix,Default Response Set,Anonymous,,,172.254.240.170,0,2019-07-05 07:14:40,2019-07-05 07:15:46,1,1,1,,,,friday,Yes,1,no,,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,22,female,right-handed,english,1,E4_change_BACK,41.472396850586,-74.056602478027,-1,
R_3hAcloDUv502Iff,Default Response Set,Anonymous,,,73.14.197.245,0,2019-07-05 07:14:30,2019-07-05 07:16:00,1,1,1,Monday,,,,Yes,1,none,I think he acted like it was being pulled two days closer.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,30,male,right-handed,english,1,E4_move_BACK,38.889801025391,-104.7433013916,-1,
R_2S14PPboqqvolbY,Default Response Set,Anonymous,,,108.29.72.77,0,2019-07-05 07:14:24,2019-07-05 07:16:18,1,1,1,,,friday,,Yes,1,no,nope,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,23,male,right-handed,"English, Arabic",1,E4_change_FORW,40.731002807617,-73.674201965332,-1,
R_237saNkhM16OZUU,Default Response Set,Anonymous,,,172.58.231.164,0,2019-07-05 07:14:02,2019-07-05 07:16:19,1,1,1,,,Friday,,Yes,1,No,No.,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,32,female,right-handed,English ,1,E4_change_FORW,40.680099487305,-73.920700073242,-1,
R_3GwgL2Ultl10pN7,Default Response Set,Anonymous,,,47.27.112.139,0,2019-07-05 07:14:45,2019-07-05 07:16:33,1,1,1,,Friday,,,Yes,1,0,No,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,31,male,right-handed,English,1,E4_move_FORW,35.901000976562,-81.21240234375,-1,
R_1dhS2vKQmhpLBzs,Default Response Set,Anonymous,,,73.169.159.58,0,2019-07-05 07:14:36,2019-07-05 07:16:56,1,1,1,The man described the meeting being moved by two weeks and he seemed to be using his hands to emphasis his statement.,,,,Yes,1,I had no issues,He seemed to be trying to do some kind subtle body language trick with his arms.,Definitely yes,13,1,slightly agree,slightly agree,slightly disagree,slightly disagree,30,male,right-handed,English,1,E4_move_BACK,47.698699951172,-117.43969726562,-1,
R_1DGe5Co1h7Fj4wQ,Default Response Set,Anonymous,,,71.191.41.232,0,2019-07-05 07:14:06,2019-07-05 07:17:14,1,1,1,,,,Friday,Yes,1,no,The man spoke precisely and perhaps with an accent. ,Definitely yes,13,1,strongly agree,strongly agree,slightly agree,strongly agree,62,female,right-handed,English,1,E4_change_BACK,38.867401123047,-77.644500732422,-1,
R_2y8UEUs4yfJ6oLk,Default Response Set,Anonymous,,,71.197.114.48,0,2019-07-05 07:14:25,2019-07-05 07:17:17,1,1,1,,,,friday,Yes,1,no,i have no comments about the video,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,strongly agree,29,female,right-handed,english,1,E4_change_BACK,38.697494506836,-121.27140045166,-1,
R_1DUtONlTZUWpmeR,Default Response Set,Anonymous,,,137.118.149.146,0,2019-07-05 07:14:58,2019-07-05 07:17:19,1,1,1,Friday,,,,Yes,1,no,no,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,70,male,right-handed,English,1,E4_move_BACK,45.721603393555,-123.90489959717,-1,
R_1gpBaZHSez2uou9,Default Response Set,Anonymous,,,98.21.206.70,0,2019-07-05 07:14:46,2019-07-05 07:17:41,1,1,1,,Friday,,,Yes,1,no,none,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,57,female,right-handed,English,1,E4_move_FORW,40.964599609375,-91.561401367188,-1,
R_3EEC4WQu2q0srzy,Default Response Set,Anonymous,,,73.0.86.58,0,2019-07-05 07:16:14,2019-07-05 07:17:56,1,1,1,,Friday,,,Yes,Once,no,No.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,30,male,right-handed,English,1,E4_move_FORW,26.297500610352,-80.181602478027,-1,
R_3nOCp8cs6UjFh6e,Default Response Set,Anonymous,,,64.184.8.188,0,2019-07-05 07:15:57,2019-07-05 07:18:20,1,1,1,Sunday,,,,Yes,1,hand movements a little blurry,none,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,64,male,right-handed,English,1,E4_move_BACK,39.789093017578,-85.80940246582,-1,
R_3negHClRbilNZN0,Default Response Set,Anonymous,,,71.79.155.51,0,2019-07-05 07:17:28,2019-07-05 07:20:12,1,1,1,,,9:18 am,,Yes,1,no,I was being asked what time the meeting was changed to/,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,strongly agree,43,female,left-handed,english,1,E4_change_FORW,41.039001464844,-81.738098144531,-1,
R_6Jp2Mafe2GzhgtP,Default Response Set,Anonymous,,,104.62.180.203,0,2019-07-05 07:16:33,2019-07-05 07:20:57,1,1,1,,,Friday,,Yes,2,the person's accent made him difficult to understand,"His accent made him very difficult to understand. He should try to speak slower as his English pronunciation is extremely poor. Also, saying that Wednesday's meeting has been ""changed by two days"" is very ambiguous, as that could mean either Friday or Monday. I picked Friday just to make a choice. ",Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,40,female,right-handed,English,1,E4_change_FORW,32.720306396484,-117.15519714355,-1,
R_3fdQGA9lVM2EYoh,Default Response Set,Anonymous,,,45.31.113.40,0,2019-07-05 07:19:40,2019-07-05 07:21:05,1,1,1,,Friday,,,Yes,2,No,He is expressive,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,slightly agree,29,female,right-handed,English,1,E4_move_FORW,29.7373046875,-95.397201538086,-1,
R_sHAebvEjeYJpScp,Default Response Set,Anonymous,,,69.167.3.63,0,2019-07-05 07:18:30,2019-07-05 07:21:53,1,1,1,Friday,,,,Yes,Twice,No,,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,28,female,right-handed,English ,1,E4_move_BACK,34.072906494141,-118.2606048584,-1,
R_2uNyfodvlsWQpnG,Default Response Set,Anonymous,,,108.254.163.47,0,2019-07-05 07:17:54,2019-07-05 07:24:56,1,1,1,,,,friday,Yes,2,no,,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,48,male,ambidextrous,"englisg, russian, italian",1,E4_change_BACK,42.280700683594,-83.780097961426,-1,
R_3nNwgeKTdUZRVGC,Default Response Set,Anonymous,,,96.246.140.240,0,2019-07-05 07:30:09,2019-07-05 07:31:39,1,1,1,,friday,,,Yes,3,no,nothing,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,23,male,right-handed,english tagalog,1,E4_move_FORW,40.736404418945,-73.869499206543,-1,
R_2CDFLVUCJdaXMUb,Default Response Set,Anonymous,,,98.249.138.19,0,2019-07-05 07:35:21,2019-07-05 07:37:05,1,1,1,Monday,,,,Yes,1,no,I thought it was a very odd way to ask the question. ,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,strongly agree,32,female,left-handed,english,1,E4_move_BACK,27.449295043945,-80.359199523926,-1,
R_1o0uUOtMpnYTZ50,Default Response Set,Anonymous,,,68.50.30.208,0,2019-07-05 07:33:17,2019-07-05 07:37:06,1,1,1,,,,Friday,Yes,2,none,changed by two days can be Monday or Friday. It's not the clearest question. ,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,36,male,right-handed,"english, mandarin",1,E4_change_BACK,39.139694213867,-86.514099121094,-1,
R_tQ9PoD600xhbsT7,Default Response Set,Anonymous,,,97.73.84.252,0,2019-07-05 07:37:53,2019-07-05 07:56:18,1,1,1,,Friday,,,Yes,"once, but I heard it play three times ",none,They did not specify if it was moved up or back.  Bt the hands were on the left implying i was moved up.  But I went with what is more common which is to move it back.,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,slightly agree,35,female,right-handed,english,1,E4_move_FORW,37.751007080078,-97.821998596191,-1,
R_2dMda6TsUD3zmcO,Default Response Set,Anonymous,,,73.51.175.13,0,2019-07-05 10:53:43,2019-07-05 10:55:09,1,1,1,monday,,,,Yes,1,no,"No, thank you.",Definitely yes,13,1,strongly disagree,slightly disagree,slightly disagree,slightly disagree,32,male,right-handed,English,1,E4_move_BACK,41.895706176758,-87.943496704102,-1,
R_12KE5G9oIJ0gVc7,Default Response Set,Anonymous,,,64.25.207.20,0,2019-07-05 10:53:50,2019-07-05 10:55:46,1,1,1,,,,Friday,Yes,1,no issues,maybe have the speaker slow down a little bit.,Definitely yes,13,1,slightly agree,slightly agree,slightly disagree,slightly agree,27,male,left-handed,English,1,E4_change_BACK,43.565704345703,-84.587303161621,-1,
R_Pt7fCp9kN9M6o8x,Default Response Set,Anonymous,,,24.94.22.122,0,2019-07-05 10:53:56,2019-07-05 10:55:53,1,1,1,,,next Friday,,Yes,2,It was quite laggy and stopped in the middle.,He seems like a straight-forward person.,Definitely yes,13,1,slightly agree,slightly agree,slightly disagree,slightly disagree,22,female,right-handed,English,1,E4_change_FORW,33.056198120117,-117.26879882812,-1,
R_1ewUqL5jMv91VpJ,Default Response Set,Anonymous,,,24.32.125.17,0,2019-07-05 10:54:16,2019-07-05 10:57:49,1,1,1,Friday,,,,Yes,3,the audio was at a low volume,,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,46,female,right-handed,English,1,E4_move_BACK,37.821594238281,-94.714797973633,-1,
R_1g7oyXli5wQyTWN,Default Response Set,Anonymous,,,192.145.246.84,0,2019-07-05 10:54:08,2019-07-05 10:57:51,1,1,1,,,,Thursday,Yes,1,No,The gestures he made definitely caught my attention. I guess I felt flustered with such a rushed question,Definitely yes,13,1,slightly agree,slightly disagree,slightly disagree,slightly agree,34,male,right-handed,English,1,E4_change_BACK,44.552795410156,-92.548599243164,-1,
R_1Xp4dR3hMHe95U5,Default Response Set,Anonymous,,,71.10.45.249,0,2019-07-05 10:55:44,2019-07-05 10:57:52,1,1,1,,,dont know,,Maybe,1,no,was not asked a question,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,57,female,right-handed,english,1,E4_change_FORW,44.279006958008,-84.22859954834,-1,
R_1Fb9pG3XiOzKbBO,Default Response Set,Anonymous,,,172.100.7.203,0,2019-07-05 10:54:08,2019-07-05 10:58:29,1,1,1,Friday,,,,Yes,1,No,,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,33,other,right-handed,English,1,E4_move_BACK,42.916702270508,-78.889503479004,-1,
R_spYyVtHjpTE08EN,Default Response Set,Anonymous,,,64.188.185.211,0,2019-07-05 10:55:52,2019-07-05 10:58:33,1,1,1,,,,Either Monday or Friday.,Yes,1,No,I definitely noticed the gesturing but I have no idea what it meant in the context of what he was saying.,Definitely yes,13,1,slightly agree,slightly disagree,slightly disagree,slightly disagree,42,other,right-handed,English,1,E4_change_BACK,33.099304199219,-98.583198547363,-1,
R_cGhtKjRHl1g2bQd,Default Response Set,Anonymous,,,71.230.124.130,0,2019-07-05 10:55:09,2019-07-05 11:00:32,1,1,1,,friday,,,Yes,2,no,no,Definitely yes,13,1,slightly agree,slightly disagree,slightly disagree,slightly agree,24,male,right-handed,english,1,E4_move_FORW,39.934005737305,-75.160003662109,-1,
R_1diumN8Sgsy1uTf,Default Response Set,Anonymous,,,24.93.29.236,0,2019-07-05 10:58:23,2019-07-05 11:01:36,1,1,1,monday ,,,,Yes,1,no,"seemed like a nice person, did not give clear information ",Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,25,male,right-handed,english ,1,E4_move_BACK,43.078399658203,-77.337196350098,-1,
R_1oAU9o2NTDZRgia,Default Response Set,Anonymous,,,172.249.221.136,0,2019-07-05 10:54:05,2019-07-05 11:05:03,1,1,1,,Friday,,,Yes,1,choppy video due to connection I'm guessing,,Probably yes,13,1,slightly agree,slightly agree,slightly disagree,slightly agree,21,male,right-handed,"English, Spanish",1,E4_move_FORW,33.944107055664,-118.19799804688,-1,
