V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,Instructions,E1_A_FG_BL,E1_A_FG_BL_time_1,E1_A_FG_BL_time_2,E1_A_FG_BL_time_3,E1_A_FG_BL_time_4,E1_A_FG_BL_resp,E1_A_FG_BL_rt_1,E1_A_FG_BL_rt_2,E1_A_FG_BL_rt_3,E1_A_FG_BL_rt_4,E1_B_BG_BL,E1_B_BG_BL_time_1,E1_B_BG_BL_time_2,E1_B_BG_BL_time_3,E1_B_BG_BL_time_4,E1_B_BG_BL_resp,E1_B_BG_BL_rt_1,E1_B_BG_BL_rt_2,E1_B_BG_BL_rt_3,E1_B_BG_BL_rt_4,E1_C_FG_FL,E1_C_FG_FL_time_1,E1_C_FG_FL_time_2,E1_C_FG_FL_time_3,E1_C_FG_FL_time_4,E1_C_FG_FL_resp,E1_C_FG_FL_rt_1,E1_C_FG_FL_rt_2,E1_C_FG_FL_rt_3,E1_C_FG_FL_rt_4,E1_D_BG_FL,E1_D_BG_FL_time_1,E1_D_BG_FL_time_2,E1_D_BG_FL_time_3,E1_D_BG_FL_time_4,E1_D_BG_FL_resp,E1_D_BG_FL_rt_1,E1_D_BG_FL_rt_2,E1_D_BG_FL_rt_3,E1_D_BG_FL_rt_4,VideoCompletion,VideoNTimes,GestureNotice,OpenEnded,MathQuestion,age,gender,handedness,language,ThankYou,DO-BR-FL_10,LocationLatitude,LocationLongitude,LocationAccuracy
R_3HBq3pj3r3suENB,Default Response Set,Anonymous,,,50.49.15.74,0,22/03/2017 06:35,22/03/2017 06:39,0,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Probably yes,No,13,41,female,right-handed,English,,E1_A_FG_BL,,,-1
R_3QWRjwAxERTPHYK,Default Response Set,Anonymous,,,67.166.203.19,0,22/03/2017 06:38,22/03/2017 06:40,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,Had a different accent ,13,32,male,right-handed,English,,E1_D_BG_FL,,,-1
R_2y2CW9anP8bCNNP,Default Response Set,Anonymous,,,73.252.95.15,0,22/03/2017 05:43,22/03/2017 05:43,0,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,None,13,32,female,right-handed,English,,E1_B_BG_BL,,,-1
R_3ktQgcKLdMu2beH,Default Response Set,Anonymous,,,67.231.34.162,0,22/03/2017 05:43,22/03/2017 05:45,0,1,1,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,one,Definitely yes,,13,32,male,right-handed,english ,,E1_B_BG_BL,,,-1
R_12g0lfy4MqxErZ5,Default Response Set,Anonymous,,,75.142.177.2,0,22/03/2017 05:50,22/03/2017 05:52,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Thursday,1,2,3,4,Yes,1,Definitely yes,I think my first though might have been wrong.  I don't believe the answer is Thursday.,13,23,male,right-handed,english,,E1_D_BG_FL,,,-1
R_3oAXm7Fn6x2kex8,Default Response Set,Anonymous,,,73.224.90.9,0,22/03/2017 06:46,22/03/2017 06:47,0,1,1,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,His justure was backwards,13,36,female,right-handed,english,,E1_A_FG_BL,,,-1
R_24OexVvRtAkZUyY,Default Response Set,Anonymous,,,104.14.110.135,0,22/03/2017 05:43,22/03/2017 05:45,0,1,1,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,36,female,left-handed,English,,E1_B_BG_BL,,,-1
R_3sncaYSwYEZflOw,Default Response Set,Anonymous,,,68.64.121.138,0,22/03/2017 06:36,22/03/2017 06:37,0,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,N/A,13,30,female,right-handed,English,,E1_B_BG_BL,,,-1
R_2uKfcCSxb79LV5Z,Default Response Set,Anonymous,,,184.89.146.22,0,22/03/2017 08:31,22/03/2017 08:32,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,friday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,,13,41,male,right-handed,English,1,E1_C_FG_FL,28.48069763,-81.55180359,-1
R_2dnnduJmtIjvEBN,Default Response Set,Anonymous,,,128.177.161.180,0,22/03/2017 08:39,22/03/2017 08:40,1,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,They hand gesture was odd,13,22,female,ambidextrous,English,1,E1_B_BG_BL,39.94689941,-105.2142029,-1
R_3kbTieVX3zJDW44,Default Response Set,Anonymous,,,47.153.134.71,0,22/03/2017 08:40,22/03/2017 08:41,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Probably yes,I wondered if they gestured that way because they sounded foreign.,13,38,female,right-handed,English,1,E1_D_BG_FL,33.77319336,-118.339798,-1
R_1r0UnvUjluzQldE,Default Response Set,Anonymous,,,177.237.19.21,0,22/03/2017 08:49,22/03/2017 08:51,1,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,29,male,right-handed,"English, Spanish",1,E1_A_FG_BL,28.21670532,-105.3167038,-1
R_2SuHJIDYZ2wMu4W,Default Response Set,Anonymous,,,68.42.168.90,0,22/03/2017 05:47,22/03/2017 05:48,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,friday,1,2,3,4,,,,,,,,,,,Yes,once,Definitely yes,he had his hand positioned sideways and moved it forward when he said forward,13,28,male,right-handed,english,,E1_C_FG_FL,,,-1
R_25LXql8tCd29vA0,Default Response Set,Anonymous,,,73.224.90.9,0,22/03/2017 06:44,22/03/2017 06:46,0,1,1,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,he was direct and to the point,13,39,male,right-handed,english,,E1_B_BG_BL,,,-1
R_3lWC2r42S8i2CSM,Default Response Set,Anonymous,,,68.185.239.53,0,22/03/2017 08:33,22/03/2017 08:34,0,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Probably yes,"Seemed very unnatural...but besides that, it seemed fine I guess.",13,33,male,right-handed,English,,E1_A_FG_BL,,,-1
R_1DtZymNjLvfMXEO,Default Response Set,Anonymous,,,192.180.140.240,0,22/03/2017 08:33,22/03/2017 08:34,0,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,,13,36,female,right-handed,English,,E1_B_BG_BL,,,-1
R_3plpwEWeP0PEEAX,Default Response Set,Anonymous,,,107.202.43.166,0,22/03/2017 08:31,22/03/2017 08:31,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,friday,1,2,3,4,Yes,1,Definitely yes,he was saying forward but moving his hand backwards (relative to his pov),13,21,male,right-handed,english,,E1_D_BG_FL,,,-1
R_22Ke833SbF4VNCa,Default Response Set,Anonymous,,,174.76.247.219,0,22/03/2017 08:39,22/03/2017 08:42,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,One,Definitely yes,"I feel the question is one that different people could view differently. However, I feel moving something forward means ""earlier"". The gesture of moving his hand forward while emphasizing the word was quite odd.",13,24,female,left-handed,English,,E1_C_FG_FL,,,-1
R_etjP08kENl6Weop,Default Response Set,Anonymous,,,66.25.58.149,0,22/03/2017 08:36,22/03/2017 08:38,0,1,1,1,1,2,3,4,Tuesday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,,13,27,female,right-handed,English,,E1_A_FG_BL,,,-1
R_2wvq5VJywZXR23h,Default Response Set,Anonymous,,,107.77.173.3,0,22/03/2017 09:25,22/03/2017 09:27,1,1,1,1,1,2,3,4,Tuesday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,24,male,right-handed,english,1,E1_A_FG_BL,29.77020264,-95.3628006,-1
R_22KNbynKBd2G9xk,Default Response Set,Anonymous,,,199.21.164.162,0,22/03/2017 09:26,22/03/2017 09:27,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,no,13,24,male,right-handed,English,1,E1_C_FG_FL,17.30000305,-62.71669769,-1
R_2TY0o534eAToyiP,Default Response Set,Anonymous,,,98.91.0.68,0,22/03/2017 09:26,22/03/2017 09:28,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,Yes,1,Definitely yes,the person spoke in a weird tone,13,40,male,right-handed,english,1,E1_D_BG_FL,32.96470642,-80.20149994,-1
R_24HtF26YU86N5qQ,Default Response Set,Anonymous,,,198.49.31.110,0,22/03/2017 09:40,22/03/2017 09:41,1,1,1,,,,,,,,,,,1,1,2,3,4,A day backwards from the meeting day,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,no,13,31,male,right-handed,english,1,E1_B_BG_BL,33.64950562,-86.70880127,-1
R_3izfsQL4Pm5h4i7,Default Response Set,Anonymous,,,74.232.62.43,0,22/03/2017 09:42,22/03/2017 09:43,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,Yes,1,Definitely yes,he said forward but his hand gesture suggests backwards,13,30,female,right-handed,english,1,E1_D_BG_FL,33.5756073,-85.13400269,-1
R_3CIzoRe8OvFYffK,Default Response Set,Anonymous,,,108.245.152.51,0,22/03/2017 05:45,22/03/2017 05:46,0,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1_A_FG_BL,,,-1
R_3fI4bACT3K7rh3X,Default Response Set,Anonymous,,,50.134.223.77,0,22/03/2017 09:46,22/03/2017 09:47,1,1,1,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,,13,27,male,right-handed,english,1,E1_B_BG_BL,38.85209656,-104.7777023,-1
R_821RFOnKoEimvTj,Default Response Set,Anonymous,,,68.206.234.129,0,22/03/2017 09:46,22/03/2017 09:47,1,1,1,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,The person moved their hand back towards them to show the meeting being moved backwards 2 days.,13,45,female,left-handed,English,1,E1_B_BG_BL,29.98039246,-94.00270081,-1
R_3lt6EG9PwT7dyKw,Default Response Set,Anonymous,,,50.244.162.49,0,22/03/2017 09:46,22/03/2017 09:48,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,Yes,1,Definitely yes,,13,31,female,right-handed,English,1,E1_D_BG_FL,26.27850342,-80.1167984,-1
R_3JbgwRuBCyRFoq9,Default Response Set,Anonymous,,,73.100.32.214,0,22/03/2017 09:49,22/03/2017 09:52,1,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Twice,Definitely yes,I had to listen twice because of his accent. I just wanted to make sure I heard him correctly.,13,46,male,ambidextrous,English,1,E1_A_FG_BL,43.25549316,-70.88289642,-1
R_30w92QPHh2X1QFY,Default Response Set,Anonymous,,,23.127.177.105,0,22/03/2017 09:52,22/03/2017 09:56,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,"The gesture and what he said seemed to contradict to me, at least as I understood it.",13,49,male,right-handed,English,1,E1_D_BG_FL,35.39019775,-82.37249756,-1
R_3PA0qgBbwfHamZB,Default Response Set,Anonymous,,,66.75.23.122,0,22/03/2017 09:53,22/03/2017 09:56,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,The meeting is reschedeled for thursday,1,2,3,4,Yes,1,Definitely yes,The person talked with gestures alot.,13,33,male,right-handed,English,1,E1_D_BG_FL,34.97009277,-116.9929047,-1
R_21iCMrjoCgZzCzq,Default Response Set,Anonymous,,,68.107.115.3,0,22/03/2017 10:05,22/03/2017 10:06,1,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,"The guy gestured his hand forward as he said ""backward"" which threw me off a little (probably the point?). ",13,31,male,left-handed,English,1,E1_A_FG_BL,32.71910095,-117.1607056,-1
R_1It4v2Gy63pTl5A,Default Response Set,Anonymous,,,72.49.33.26,0,22/03/2017 11:10,22/03/2017 11:11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,No.,13,25,female,right-handed,English,1,E1_C_FG_FL,39.25489807,-84.2390976,-1
R_1o7LhRFiXXwx6s3,Default Response Set,Anonymous,,,198.24.30.133,0,22/03/2017 11:12,22/03/2017 11:13,1,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,25,male,right-handed,english,1,E1_B_BG_BL,38.82090759,-77.28910065,-1
R_3Pjo4HV133Fp0Ic,Default Response Set,Anonymous,,,73.244.199.117,0,22/03/2017 11:21,22/03/2017 11:22,1,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,no,13,55,male,right-handed,english,1,E1_B_BG_BL,26.02119446,-80.1894989,-1
R_2cjUwrFAesvQPBV,Default Response Set,Anonymous,,,75.120.142.146,0,22/03/2017 11:20,22/03/2017 11:23,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,2,Definitely yes,no,13,52,male,right-handed,English,1,E1_D_BG_FL,35.57530212,-93.79229736,-1
